"id","course_id","reviewer","image_name","reviewer_details","video_url","vdo_testimonials_position","status","added_date","modified_date"
"1","1","Dipanjan Boss","230x230avatardummyprofilepic_1670591424.jpg","SR. Dev","https://www.youtube.com/watch?v=SWqaDnEMnhI&ab_channel=LawSikho",,"A","2022-12-09 17:12:34","2022-12-09 18:12:24"
"2","1","Runka TESt","230x230avatardummyprofilepic_1670588192.jpg","SR. Dev","https://www.youtube.com/watch?v=SWqaDnEMnhI&ab_channel=LawSikho",,"A","2022-12-09 17:12:32",
"3","1","Ramanuj","1579783766199_1670598871.jpeg","CEO","https://www.youtube.com/watch?v=SWqaDnEMnhI&ab_channel=LawSikho",,"A","2022-12-09 18:12:59","2022-12-09 20:12:31"
"4","1","Mayukh test","230x230avatardummyprofilepic_1670599029.jpg","Jr. Dev","https://www.youtube.com/watch?v=SWqaDnEMnhI&ab_channel=LawSikho",,"A","2022-12-09 20:12:09",
"5","1","Mayukh test","230x230avatardummyprofilepic_1670599029.jpg","Jr. Dev","https://www.youtube.com/watch?v=SWqaDnEMnhI&ab_channel=LawSikho",,"A","2022-12-09 20:12:09",
"6","1","Mayukh test","230x230avatardummyprofilepic_1670599124.jpg","Jr. Dev","https://www.youtube.com/watch?v=SWqaDnEMnhI&ab_channel=LawSikho",,"A","2022-12-09 20:12:44",
"7","68","Mayukh test","230x230avatardummyprofilepic_1670599130.jpg","Jr. Dev","https://www.youtube.com/watch?v=SWqaDnEMnhI&ab_channel=LawSikho",,"A","2022-12-09 20:12:50","2025-11-21 12:11:37"
"8","1","Mayukh test","230x230avatardummyprofilepic_1670599224.jpg","Jr. Dev","https://www.youtube.com/watch?v=SWqaDnEMnhI&ab_channel=LawSikho",,"A","2022-12-09 20:12:24",
"9","68","Mayukh test","230x230avatardummyprofilepic_1670600095.jpg","Jr. Dev","https://www.youtube.com/watch?v=SWqaDnEMnhI&ab_channel=LawSikho",,"A","2022-12-09 20:12:59","2025-11-21 12:11:03"
"10","1","Mayukh test","230x230avatardummyprofilepic_1670599520.jpg","Jr. Dev","https://www.youtube.com/watch?v=SWqaDnEMnhI&ab_channel=LawSikho",,"A","2022-12-09 20:12:20",
"11","1","Mayukh test","230x230avatardummyprofilepic_1670599611.jpg","Jr. Dev","https://www.youtube.com/watch?v=SWqaDnEMnhI&ab_channel=LawSikho",,"A","2022-12-09 20:12:51",
"12","1","Mayukh test","230x230avatardummyprofilepic_1670599660.jpg","Jr. Dev","https://www.youtube.com/watch?v=SWqaDnEMnhI&ab_channel=LawSikho",,"A","2022-12-09 20:12:40",
"13","1","Mayukh test","230x230avatardummyprofilepic_1670599686.jpg","Jr. Dev","https://www.youtube.com/watch?v=SWqaDnEMnhI&ab_channel=LawSikho",,"A","2022-12-09 20:12:06",
